transaction_id,transaction_date,customer_id,product_id,channel_id,amount,currency,payment_method,status
TXN00000051,2025-12-18 21:36:03,CUST000992,PROD00044,CH002,427.21,USD,Bank Transfer,completed
TXN00000052,2025-09-11 21:36:03,CUST000834,PROD00015,CH001,139.41,USD,PayPal,completed
TXN00000053,2025-09-13 21:36:03,CUST000195,PROD00007,CH004,106.9,USD,Bank Transfer,completed
TXN00000054,2025-11-22 21:36:03,CUST000484,PROD00018,CH001,55.09,USD,Credit Card,completed
TXN00000055,2025-10-10 21:36:03,CUST000106,PROD00020,CH001,400.23,USD,Bank Transfer,completed
TXN00000056,2026-01-11 21:36:03,CUST000589,PROD00031,CH005,393.21,USD,Credit Card,completed
TXN00000057,2025-10-23 21:36:03,CUST000801,PROD00025,CH004,264.01,USD,Bank Transfer,completed
TXN00000058,2026-01-12 21:36:03,CUST000591,PROD00011,CH003,115.18,USD,PayPal,completed
TXN00000059,2025-10-31 21:36:03,CUST000221,PROD00024,CH001,437.71,USD,Debit Card,completed
TXN00000060,2025-10-28 21:36:03,CUST000310,PROD00007,CH002,119.55,USD,Debit Card,completed
TXN00000061,2025-10-26 21:36:03,CUST000953,PROD00048,CH004,219.7,USD,Bank Transfer,completed
TXN00000062,2025-10-20 21:36:03,CUST000815,PROD00032,CH003,200.38,USD,Bank Transfer,completed
TXN00000063,2025-10-08 21:36:03,CUST000387,PROD00032,CH003,184.73,USD,PayPal,cancelled
TXN00000064,2025-11-15 21:36:03,CUST000354,PROD00050,CH005,277.37,USD,Debit Card,completed
TXN00000065,2025-12-24 21:36:03,CUST000580,PROD00004,CH001,319.71,USD,Credit Card,completed
TXN00000066,2025-12-03 21:36:03,CUST000463,PROD00048,CH004,255.65,USD,Debit Card,completed
TXN00000067,2025-10-20 21:36:03,CUST000811,PROD00039,CH005,370.2,USD,Credit Card,cancelled
TXN00000068,2025-11-19 21:36:03,CUST000887,PROD00031,CH003,433.2,USD,Debit Card,completed
TXN00000069,2025-10-23 21:36:03,CUST000459,PROD00019,CH004,290.05,USD,Debit Card,completed
TXN00000070,2025-11-23 21:36:03,CUST000090,PROD00019,CH002,323.51,USD,Credit Card,completed
TXN00000071,2026-01-07 21:36:03,CUST000537,PROD00031,CH003,416.97,USD,Bank Transfer,completed
TXN00000072,2025-12-14 21:36:03,CUST000222,PROD00036,CH001,101.81,USD,Bank Transfer,completed
TXN00000073,2025-08-16 21:36:03,CUST000847,PROD00043,CH001,149.4,USD,PayPal,completed
TXN00000074,2025-12-22 21:36:03,CUST000441,PROD00002,CH004,147.48,USD,Credit Card,completed
TXN00000075,2025-10-09 21:36:03,CUST000035,PROD00002,CH002,149.32,USD,PayPal,completed
TXN00000076,2026-01-19 21:36:03,CUST000292,PROD00028,CH002,503.86,USD,Bank Transfer,cancelled
TXN00000077,2025-10-30 21:36:03,CUST000976,PROD00049,CH004,85.72,USD,Bank Transfer,completed
TXN00000078,2025-08-09 21:36:03,CUST000064,PROD00004,CH003,314.16,USD,Debit Card,completed
TXN00000079,2025-12-17 21:36:03,CUST000254,PROD00031,CH004,423.57,USD,Debit Card,completed
TXN00000080,2025-11-10 21:36:03,CUST000131,PROD00040,CH003,337.94,USD,Debit Card,completed
TXN00000081,2025-08-13 21:36:03,CUST000969,PROD00025,CH003,291.89,USD,PayPal,completed
TXN00000082,2025-08-28 21:36:03,CUST000511,PROD00013,CH001,352.5,USD,Debit Card,completed
TXN00000083,2025-10-25 21:36:03,CUST000306,PROD00044,CH003,443.08,USD,Debit Card,completed
TXN00000084,2025-12-08 21:36:03,CUST000467,PROD00030,CH004,141.77,USD,Credit Card,completed
TXN00000085,2026-02-01 21:36:03,CUST000715,PROD00026,CH004,43.66,USD,Credit Card,completed
TXN00000086,2025-08-18 21:36:03,CUST000522,PROD00018,CH003,60.95,USD,Credit Card,completed
TXN00000087,2025-11-02 21:36:03,CUST000563,PROD00013,CH005,393.12,USD,Debit Card,completed
TXN00000088,2025-10-08 21:36:03,CUST000848,PROD00037,CH002,130.38,USD,Debit Card,completed
TXN00000089,2025-12-28 21:36:03,CUST000336,PROD00011,CH004,116.28,USD,Bank Transfer,completed
TXN00000090,2025-11-18 21:36:03,CUST000431,PROD00008,CH003,312.91,USD,Debit Card,completed
TXN00000091,2026-01-22 21:36:03,CUST000991,PROD00027,CH004,120.02,USD,Credit Card,completed
TXN00000092,2026-01-11 21:36:03,CUST000822,PROD00045,CH002,473.09,USD,Bank Transfer,completed
TXN00000093,2025-11-24 21:36:03,CUST000860,PROD00038,CH001,191.57,USD,Debit Card,completed
TXN00000094,2025-10-17 21:36:03,CUST000516,PROD00005,CH005,55.25,USD,Credit Card,completed
TXN00000095,2025-09-02 21:36:03,CUST000737,PROD00032,CH005,202.85,USD,Debit Card,completed
TXN00000096,2025-10-29 21:36:03,CUST000389,PROD00039,CH004,326.16,USD,Credit Card,completed
TXN00000097,2026-01-25 21:36:03,CUST000982,PROD00028,CH005,528.5,USD,PayPal,completed
TXN00000098,2025-11-14 21:36:03,CUST000054,PROD00002,CH001,147.98,USD,Credit Card,completed
TXN00000099,2025-11-05 21:36:03,CUST000886,PROD00017,CH001,64.23,USD,Debit Card,cancelled
TXN00000100,2026-01-26 21:36:03,CUST000632,PROD00001,CH002,67.21,USD,PayPal,completed
TXN00000101,2026-01-05 21:36:03,CUST000409,PROD00047,CH005,186.93,USD,Debit Card,completed
TXN00000102,2025-09-06 21:36:03,CUST000020,PROD00032,CH001,181.38,USD,Credit Card,completed
TXN00000103,2025-11-10 21:36:03,CUST000667,PROD00029,CH003,451.39,USD,Bank Transfer,completed
TXN00000104,2026-01-06 21:36:03,CUST000114,PROD00026,CH003,40.89,USD,Bank Transfer,completed
TXN00000105,2025-09-23 21:36:03,CUST000812,PROD00040,CH004,344.54,USD,Debit Card,completed
TXN00000106,2025-09-18 21:36:03,CUST000271,PROD00036,CH005,93.67,USD,Debit Card,completed
TXN00000107,2025-10-26 21:36:03,CUST000184,PROD00040,CH004,369.09,USD,Credit Card,completed
TXN00000108,2025-08-09 21:36:03,CUST000863,PROD00032,CH005,190.8,USD,Debit Card,cancelled
TXN00000109,2025-11-13 21:36:03,CUST000581,PROD00010,CH002,386.46,USD,Bank Transfer,completed
TXN00000110,2026-01-29 21:36:03,CUST000735,PROD00047,CH005,203.52,USD,Bank Transfer,completed
TXN00000111,2025-09-18 21:36:03,CUST000401,PROD00016,CH003,439.05,USD,Credit Card,pending
TXN00000112,2025-10-02 21:36:03,CUST000746,PROD00012,CH005,140.23,USD,PayPal,completed
TXN00000113,2025-12-22 21:36:03,CUST000895,PROD00041,CH001,117.06,USD,Bank Transfer,completed
TXN00000114,2025-12-11 21:36:03,CUST000579,PROD00005,CH005,53.12,USD,Credit Card,completed
TXN00000115,2025-09-05 21:36:03,CUST000859,PROD00012,CH003,139.52,USD,PayPal,completed
TXN00000116,2025-08-17 21:36:03,CUST000503,PROD00016,CH002,503.94,USD,Bank Transfer,completed
TXN00000117,2025-10-01 21:36:03,CUST000716,PROD00032,CH003,210.14,USD,Credit Card,completed
TXN00000118,2026-01-21 21:36:03,CUST000417,PROD00010,CH001,371.43,USD,PayPal,completed
TXN00000119,2025-11-30 21:36:03,CUST000980,PROD00011,CH005,112.42,USD,Credit Card,completed
TXN00000120,2025-09-06 21:36:03,CUST000099,PROD00031,CH002,441.79,USD,Debit Card,completed
TXN00000121,2026-01-04 21:36:03,CUST000348,PROD00017,CH001,62.35,USD,Bank Transfer,completed
TXN00000122,2026-01-11 21:36:03,CUST000710,PROD00047,CH004,189.15,USD,Debit Card,cancelled
TXN00000123,2025-09-28 21:36:03,CUST000599,PROD00037,CH001,137.9,USD,PayPal,completed
TXN00000124,2025-10-17 21:36:03,CUST000105,PROD00048,CH002,239.39,USD,Debit Card,completed
TXN00000125,2026-02-03 21:36:03,CUST000398,PROD00031,CH005,401.34,USD,PayPal,completed
TXN00000126,2026-01-27 21:36:03,CUST000128,PROD00043,CH003,150.09,USD,Debit Card,cancelled
TXN00000127,2025-11-20 21:36:03,CUST000777,PROD00008,CH001,330.53,USD,PayPal,completed
TXN00000128,2025-09-08 21:36:03,CUST000551,PROD00014,CH003,366.27,USD,Debit Card,completed
TXN00000129,2025-09-13 21:36:03,CUST000932,PROD00014,CH002,366.98,USD,Debit Card,pending
TXN00000130,2026-01-27 21:36:03,CUST000476,PROD00046,CH002,111.74,USD,Debit Card,completed
TXN00000131,2026-01-15 21:36:03,CUST000936,PROD00041,CH005,116.58,USD,Bank Transfer,completed
TXN00000132,2025-11-30 21:36:03,CUST000148,PROD00012,CH004,133.89,USD,Credit Card,completed
TXN00000133,2025-12-16 21:36:03,CUST000957,PROD00016,CH002,502.96,USD,PayPal,completed
TXN00000134,2025-12-09 21:36:03,CUST000806,PROD00006,CH003,24.69,USD,Credit Card,pending
TXN00000135,2025-08-30 21:36:03,CUST000064,PROD00015,CH005,152.91,USD,Bank Transfer,completed
TXN00000136,2026-01-24 21:36:03,CUST000190,PROD00010,CH002,367.6,USD,Credit Card,pending
TXN00000137,2025-12-21 21:36:03,CUST000796,PROD00018,CH003,56.22,USD,Bank Transfer,completed
TXN00000138,2025-12-11 21:36:03,CUST000093,PROD00019,CH003,291.67,USD,PayPal,completed
TXN00000139,2025-12-25 21:36:03,CUST000122,PROD00037,CH005,131.99,USD,Bank Transfer,cancelled
TXN00000140,2025-11-02 21:36:03,CUST000040,PROD00046,CH002,123.19,USD,Credit Card,completed
TXN00000141,2025-09-01 21:36:03,CUST000131,PROD00006,CH001,26.22,USD,Bank Transfer,completed
TXN00000142,2025-09-07 21:36:03,CUST000979,PROD00026,CH003,47.87,USD,Debit Card,completed
TXN00000143,2025-12-01 21:36:03,CUST000196,PROD00042,CH003,364.08,USD,Bank Transfer,completed
TXN00000144,2026-01-30 21:36:03,CUST000468,PROD00007,CH004,126.72,USD,PayPal,completed
TXN00000145,2025-10-16 21:36:03,CUST000864,PROD00002,CH004,132.99,USD,PayPal,completed
TXN00000146,2025-08-28 21:36:03,CUST000108,PROD00039,CH003,338.3,USD,Debit Card,completed
TXN00000147,2025-11-16 21:36:03,CUST000306,PROD00029,CH002,445.5,USD,Debit Card,completed
TXN00000148,2026-01-21 21:36:03,CUST000560,PROD00004,CH003,313.65,USD,Credit Card,completed
TXN00000149,2025-09-30 21:36:03,CUST000269,PROD00050,CH002,283.75,USD,Debit Card,completed
TXN00000150,2025-10-03 21:36:03,CUST000697,PROD00046,CH004,114.63,USD,Bank Transfer,completed
TXN00000151,2025-08-09 21:36:03,CUST000351,PROD00018,CH005,59.64,USD,Credit Card,completed
TXN00000152,2026-01-31 21:36:03,CUST000093,PROD00049,CH003,72.65,USD,Credit Card,completed
TXN00000153,2025-11-13 21:36:03,CUST000215,PROD00023,CH001,382.21,USD,Credit Card,completed
TXN00000154,2025-10-26 21:36:03,CUST000063,PROD00043,CH002,137.45,USD,PayPal,completed
TXN00000155,2025-11-12 21:36:03,CUST000179,PROD00043,CH004,148.91,USD,Debit Card,completed
TXN00000156,2026-01-27 21:36:03,CUST000727,PROD00030,CH001,135.77,USD,Credit Card,completed
TXN00000157,2026-01-20 21:36:03,CUST000417,PROD00016,CH003,446.85,USD,PayPal,completed
TXN00000158,2025-09-30 21:36:03,CUST000739,PROD00019,CH005,313.66,USD,Debit Card,completed
TXN00000159,2026-01-11 21:36:03,CUST000496,PROD00004,CH001,354.33,USD,Debit Card,completed
TXN00000160,2025-09-01 21:36:03,CUST000912,PROD00046,CH001,105.97,USD,Credit Card,completed
TXN00000161,2025-11-13 21:36:03,CUST000338,PROD00031,CH001,406.28,USD,Bank Transfer,completed
TXN00000162,2025-09-11 21:36:03,CUST000728,PROD00027,CH005,115.53,USD,Credit Card,completed
TXN00000163,2025-12-26 21:36:03,CUST000206,PROD00048,CH003,239.58,USD,PayPal,pending
TXN00000164,2026-01-30 21:36:03,CUST000271,PROD00021,CH002,64.43,USD,PayPal,completed
TXN00000165,2025-12-17 21:36:03,CUST000024,PROD00004,CH004,348.88,USD,Debit Card,pending
TXN00000166,2025-11-15 21:36:03,CUST000240,PROD00044,CH004,438.73,USD,Credit Card,cancelled
TXN00000167,2025-10-07 21:36:03,CUST000301,PROD00010,CH003,353.29,USD,Credit Card,completed
TXN00000168,2025-12-12 21:36:03,CUST000869,PROD00029,CH005,446.58,USD,Credit Card,completed
TXN00000169,2025-08-10 21:36:03,CUST000249,PROD00011,CH002,129.51,USD,PayPal,completed
TXN00000170,2025-11-14 21:36:03,CUST000835,PROD00046,CH005,122.43,USD,Bank Transfer,completed
TXN00000171,2025-12-24 21:36:03,CUST000803,PROD00037,CH004,134.72,USD,Bank Transfer,cancelled
TXN00000172,2025-08-25 21:36:03,CUST000400,PROD00047,CH005,184.15,USD,Credit Card,completed
TXN00000173,2025-10-13 21:36:03,CUST000509,PROD00029,CH005,409.87,USD,Credit Card,pending
TXN00000174,2025-11-16 21:36:03,CUST000619,PROD00007,CH004,117.28,USD,Bank Transfer,completed
TXN00000175,2026-02-02 21:36:03,CUST000012,PROD00001,CH005,63.29,USD,Debit Card,completed
TXN00000176,2025-08-28 21:36:03,CUST000479,PROD00016,CH001,460.82,USD,Debit Card,pending
TXN00000177,2025-09-15 21:36:03,CUST000762,PROD00032,CH001,192.78,USD,Bank Transfer,completed
TXN00000178,2026-01-16 21:36:03,CUST000084,PROD00031,CH003,440.75,USD,Credit Card,completed
TXN00000179,2026-02-01 21:36:03,CUST000572,PROD00045,CH002,433.93,USD,Debit Card,completed
TXN00000180,2025-10-08 21:36:03,CUST000359,PROD00035,CH005,41.27,USD,Bank Transfer,completed
TXN00000181,2025-12-01 21:36:03,CUST000527,PROD00025,CH002,299.48,USD,Credit Card,completed
TXN00000182,2026-01-24 21:36:03,CUST000719,PROD00003,CH001,82.16,USD,Debit Card,completed
TXN00000183,2025-08-10 21:36:03,CUST000735,PROD00005,CH003,54.79,USD,Credit Card,completed
TXN00000184,2025-12-12 21:36:03,CUST000554,PROD00027,CH005,132.69,USD,PayPal,completed
TXN00000185,2025-11-10 21:36:03,CUST000208,PROD00040,CH004,319.68,USD,PayPal,completed
TXN00000186,2025-09-06 21:36:03,CUST000656,PROD00001,CH003,68.05,USD,Credit Card,completed
TXN00000187,2025-11-24 21:36:03,CUST000491,PROD00049,CH004,74.84,USD,Credit Card,completed
TXN00000188,2026-01-01 21:36:03,CUST000665,PROD00039,CH001,356.06,USD,Bank Transfer,completed
TXN00000189,2025-12-15 21:36:03,CUST000468,PROD00026,CH003,42.85,USD,Bank Transfer,completed
TXN00000190,2025-09-18 21:36:03,CUST000787,PROD00025,CH004,285.15,USD,PayPal,cancelled
TXN00000191,2025-09-02 21:36:03,CUST000376,PROD00037,CH002,140.21,USD,Credit Card,completed
TXN00000192,2025-12-15 21:36:03,CUST000017,PROD00036,CH001,84.52,USD,Credit Card,completed
TXN00000193,2025-08-18 21:36:03,CUST000475,PROD00035,CH003,44.74,USD,Bank Transfer,completed
TXN00000194,2025-09-21 21:36:03,CUST000060,PROD00026,CH004,47.88,USD,Credit Card,completed
TXN00000195,2026-01-21 21:36:03,CUST000126,PROD00026,CH002,43.37,USD,PayPal,completed
TXN00000196,2025-11-21 21:36:03,CUST000971,PROD00047,CH004,220.82,USD,PayPal,completed
TXN00000197,2025-08-26 21:36:03,CUST000431,PROD00012,CH005,148.4,USD,Credit Card,completed
TXN00000198,2026-01-26 21:36:03,CUST000783,PROD00006,CH004,27.63,USD,Debit Card,completed
TXN00000199,2025-12-17 21:36:03,CUST000259,PROD00012,CH002,160.4,USD,Bank Transfer,completed
TXN00000200,2025-12-04 21:36:03,CUST000436,PROD00025,CH004,314.34,USD,PayPal,completed
TXN00000201,2025-08-29 21:36:03,CUST000565,PROD00019,CH001,309.08,USD,Credit Card,completed
TXN00000202,2025-09-27 21:36:03,CUST000177,PROD00036,CH001,89.95,USD,PayPal,completed
TXN00000203,2026-01-13 21:36:03,CUST000732,PROD00010,CH005,335.44,USD,PayPal,completed
TXN00000204,2025-12-11 21:36:03,CUST000399,PROD00013,CH005,419.83,USD,Debit Card,completed
TXN00000205,2025-12-24 21:36:03,CUST000099,PROD00003,CH001,82.45,USD,Debit Card,completed
TXN00000206,2025-08-08 21:36:03,CUST000536,PROD00022,CH001,52.81,USD,Credit Card,completed
TXN00000207,2025-12-23 21:36:03,CUST000948,PROD00017,CH004,58.23,USD,Credit Card,completed
TXN00000208,2025-08-07 21:36:03,CUST000668,PROD00007,CH005,123.2,USD,Bank Transfer,completed
TXN00000209,2025-10-24 21:36:03,CUST000617,PROD00013,CH003,351.58,USD,Debit Card,completed
TXN00000210,2025-12-10 21:36:03,CUST000301,PROD00050,CH002,311.36,USD,Debit Card,completed
TXN00000211,2025-10-17 21:36:03,CUST000090,PROD00011,CH001,108.41,USD,Debit Card,completed
TXN00000212,2025-11-20 21:36:03,CUST000310,PROD00036,CH003,97.63,USD,PayPal,completed
TXN00000213,2025-08-28 21:36:03,CUST000867,PROD00008,CH001,309.92,USD,Debit Card,completed
TXN00000214,2025-11-15 21:36:03,CUST000545,PROD00046,CH005,104.48,USD,Credit Card,completed
TXN00000215,2026-01-23 21:36:03,CUST000227,PROD00008,CH002,333.31,USD,Debit Card,completed
TXN00000216,2025-10-12 21:36:03,CUST000770,PROD00032,CH001,204.82,USD,Bank Transfer,completed
TXN00000217,2025-10-29 21:36:03,CUST000875,PROD00005,CH002,50.69,USD,PayPal,completed
TXN00000218,2025-08-26 21:36:03,CUST000202,PROD00048,CH004,255.67,USD,Debit Card,pending
TXN00000219,2026-01-03 21:36:03,CUST000276,PROD00038,CH003,180.61,USD,Credit Card,completed
TXN00000220,2025-11-30 21:36:03,CUST000431,PROD00003,CH001,77.84,USD,Bank Transfer,completed
TXN00000221,2025-12-22 21:36:03,CUST000486,PROD00038,CH004,190.38,USD,Debit Card,completed
TXN00000222,2025-10-24 21:36:03,CUST000778,PROD00035,CH001,44.66,USD,Credit Card,completed
TXN00000223,2025-09-16 21:36:03,CUST000655,PROD00031,CH005,444.47,USD,PayPal,completed
TXN00000224,2026-02-01 21:36:03,CUST000775,PROD00023,CH001,425.01,USD,Debit Card,completed
TXN00000225,2025-09-13 21:36:03,CUST000612,PROD00008,CH002,280.05,USD,Debit Card,completed
TXN00000226,2025-11-16 21:36:03,CUST000566,PROD00026,CH001,44.2,USD,PayPal,completed
TXN00000227,2025-09-20 21:36:03,CUST000456,PROD00011,CH003,106.95,USD,Bank Transfer,completed
TXN00000228,2025-12-27 21:36:03,CUST000301,PROD00042,CH001,424.54,USD,Debit Card,completed
TXN00000229,2025-12-03 21:36:03,CUST000499,PROD00048,CH005,216.14,USD,Debit Card,completed
TXN00000230,2025-08-10 21:36:03,CUST000392,PROD00034,CH002,427.85,USD,Debit Card,completed
TXN00000231,2025-09-26 21:36:03,CUST000536,PROD00001,CH003,68.73,USD,PayPal,completed
TXN00000232,2026-01-15 21:36:03,CUST000172,PROD00032,CH003,208.14,USD,Credit Card,completed
TXN00000233,2026-01-04 21:36:03,CUST000720,PROD00003,CH004,74.59,USD,Credit Card,completed
TXN00000234,2025-08-23 21:36:03,CUST000201,PROD00036,CH001,88.19,USD,Bank Transfer,pending
TXN00000235,2025-09-08 21:36:03,CUST000032,PROD00029,CH004,399.12,USD,PayPal,completed
TXN00000236,2025-08-17 21:36:03,CUST000930,PROD00006,CH005,27.83,USD,Credit Card,completed
TXN00000237,2025-12-31 21:36:03,CUST000961,PROD00048,CH005,231.7,USD,Bank Transfer,completed
TXN00000238,2025-08-14 21:36:03,CUST000714,PROD00012,CH003,142.88,USD,Bank Transfer,completed
TXN00000239,2025-11-05 21:36:03,CUST000735,PROD00021,CH005,67.1,USD,Debit Card,completed
TXN00000240,2025-10-17 21:36:03,CUST000780,PROD00049,CH005,77.57,USD,Debit Card,completed
TXN00000241,2026-01-11 21:36:03,CUST000483,PROD00012,CH001,149.8,USD,Debit Card,completed
TXN00000242,2025-10-21 21:36:03,CUST000339,PROD00009,CH003,107.41,USD,Bank Transfer,completed
TXN00000243,2025-08-29 21:36:03,CUST000262,PROD00043,CH005,134.97,USD,Debit Card,completed
TXN00000244,2025-09-27 21:36:03,CUST000508,PROD00036,CH003,96.54,USD,Debit Card,completed
TXN00000245,2025-12-24 21:36:03,CUST000845,PROD00019,CH002,323.86,USD,Bank Transfer,cancelled
TXN00000246,2025-11-06 21:36:03,CUST000788,PROD00014,CH005,350.66,USD,Bank Transfer,completed
TXN00000247,2025-12-29 21:36:03,CUST000070,PROD00048,CH005,234.95,USD,Bank Transfer,completed
TXN00000248,2025-09-22 21:36:03,CUST000839,PROD00022,CH001,44.0,USD,Debit Card,completed
TXN00000249,2025-10-17 21:36:03,CUST000446,PROD00010,CH001,322.43,USD,Bank Transfer,completed
TXN00000250,2025-11-06 21:36:03,CUST000864,PROD00036,CH001,98.87,USD,Debit Card,completed
TXN00000251,2025-09-01 21:36:03,CUST000343,PROD00038,CH001,186.05,USD,Debit Card,completed
TXN00000252,2025-12-21 21:36:03,CUST000353,PROD00020,CH001,390.82,USD,Credit Card,pending
TXN00000253,2025-10-02 21:36:03,CUST000503,PROD00044,CH004,464.36,USD,Bank Transfer,completed
TXN00000254,2025-09-20 21:36:03,CUST000170,PROD00050,CH002,266.6,USD,PayPal,pending
TXN00000255,2026-02-01 21:36:03,CUST000770,PROD00012,CH001,142.18,USD,Credit Card,completed
TXN00000256,2026-02-02 21:36:03,CUST000040,PROD00004,CH004,331.45,USD,Debit Card,completed
TXN00000257,2025-09-24 21:36:03,CUST000130,PROD00018,CH003,61.25,USD,Bank Transfer,completed
TXN00000258,2025-10-25 21:36:03,CUST000252,PROD00026,CH005,41.22,USD,Credit Card,completed
TXN00000259,2025-08-21 21:36:03,CUST000640,PROD00026,CH003,41.72,USD,Debit Card,completed
TXN00000260,2025-12-19 21:36:03,CUST000964,PROD00037,CH002,129.39,USD,PayPal,completed
TXN00000261,2025-09-27 21:36:03,CUST000082,PROD00022,CH002,51.59,USD,PayPal,completed
TXN00000262,2025-09-21 21:36:03,CUST000507,PROD00040,CH002,374.39,USD,PayPal,completed
TXN00000263,2025-08-12 21:36:03,CUST000291,PROD00020,CH003,341.67,USD,Debit Card,pending
TXN00000264,2025-09-04 21:36:03,CUST000393,PROD00008,CH005,326.12,USD,PayPal,completed
TXN00000265,2025-11-10 21:36:03,CUST000229,PROD00002,CH005,150.68,USD,Bank Transfer,completed
